time,open,high,low,close,Global liquidity,Volume
1637971200,53757.67,55316.67,53642.58,54759.05,101.0068718116941,7899.31793
1638057600,54759.04,57490,53327,57317.17,101.0068718116941,8222.43935
1638144000,57318.51,58908.27,56730,57838.06,100.92701638637162,13454.24772
1638230400,57838.06,59249.77,55910.33,56987.97,100.72589218041885,18038.80218
1638316800,56998.35,59118.84,56465.75,57226.5,100.65753627432312,16607.32318
1638403200,57226.51,57423.69,55845,56521.46,100.80109858606066,12969.23387
1638489600,56521.45,57670.68,51640,53638.04,100.80038099091094,19567.64538
1638576000,53633.02,53876.09,42333,49241.12,100.80038099091094,39023.34414
1638662400,49235.26,49783,47827,49484.22,100.80038099091094,21727.15258
1638748800,49484.21,51105,47200,50529.56,100.76351272712651,23082.31905
1638835200,50529.56,51995,50067.1,50625.48,100.8232046627915,14107.34652
1638921600,50625.24,51250,48650.02,50519.68,100.95442541015339,13139.0061
1639008000,50520.94,50844.86,47323.23,47568.43,100.62742651245878,15749.43876
1639094400,47568.43,50148.49,46900,47170.94,100.41353178847761,15689.58859
1639180800,47170.94,49517.18,46786.78,49407.75,100.41353178847761,11045.23808
1639267200,49424.47,50828.13,48665.43,50089.64,100.41353178847761,10411.09624
1639353600,50089.64,50218.42,45727.92,46727.89,100.41201765858249,20797.30281
1639440000,46727.89,48686.91,46300,48367.43,100.45152805284714,17107.0485
1639526400,48359.23,49500,46530,48884.78,100.36987420444076,21621.72428
1639612800,48878.83,49459.39,47524.66,47634.22,100.47937697395732,12731.2513
1639699200,47634.2,48000,45469.32,46166.5,100.31422327264511,18556.09347
1639785600,46159.87,47368.73,45515.72,46859.46,100.31422327264511,8170.8673
1639872000,46857.49,48351.92,46440.11,46687.19,100.31422327264511,9518.72163
1639958400,46687.2,47548.93,45568,46926.07,100.3356440506054,16039.39958
1640044800,46926.07,49339.31,46645.05,48914.7,100.13084766213512,15461.42504
1640131200,48914.7,49595,48450,48608.62,99.83038560039601,10753.51356
1640217600,48608.61,51397.82,48032.16,50842.2,100.90154115338139,16627.06073
1640304000,50842.06,51878.6,50445.55,50851.38,101.01829606616701,11693.26797
1640390400,50852.31,51171.68,50191.84,50428.31,101.01829606616701,5550.58587
1640476800,50428.31,51295.33,49460,50801.79,101.01829606616701,6863.40923
1640563200,50804.33,52100,50480,50717.77,101.0726261417753,11596.92908
1640649600,50720.35,50720.35,47300.23,47543.09,100.97842474190452,23116.77017
1640736000,47542.2,48149.58,46094.02,46471.24,100.89310932906359,20326.33567
1640822400,46471.24,47926.15,45938.44,47122.08,100.89995154969337,27413.66802
1640908800,47122.09,48574.7,45650,46211.24,100.86579352734333,19010.25587
1640995200,46211.24,47967.12,46205,47733.43,100.86579352734333,9463.67598
1641081600,47733.43,47990,46633.36,47299.07,100.86579352734333,6833.51307
1641168000,47299.06,47583.33,45700,46459.56,100.69548563992554,10841.82455
1641254400,46459.57,47532.89,45515,45814.61,100.64385541145046,16320.34158
1641340800,45817.13,47076.55,42500,43436.04,100.96017892760818,25067.68922
1641427200,43446.34,43794.5,42432.99,43083.76,100.91001926491064,20780.06223
1641513600,43081.79,43144.72,40571.53,41565.18,100.9288798492266,26122.21436
1641600000,41564.57,42318.97,40505.3,41684.84,100.9288798492266,15454.12727
1641686400,41684.84,42831.12,41209.53,41876.52,100.9288798492266,11074.23939
1641772800,41876.52,42250,39650,41824.07,100.92906948389447,25232.37194
1641859200,41824.06,43130,41274.8,42753.44,101.29340406114142,19697.48067
1641945600,42749.84,44342.83,42459.21,43920.37,101.29080157233611,16250.22916
1642032000,43921.21,44453.22,42325,42581.65,101.2244677650414,14772.10901
1642118400,42576.27,43473.98,41752,43090.72,101.36000018198958,13545.76531
1642204800,43090.72,43819.39,42577.35,43098.2,101.36000018198958,6318.39964
1642291200,43098.2,43497.24,42600,43104.34,101.36000018198958,6481.67225
1642377600,43104.34,43200,41567.64,42218.01,101.31888374597023,10963.86606
1642464000,42214.66,42692.71,41287.79,42369.74,101.27044527784788,13658.51803
1642550400,42372.15,42586.03,41126,41674.27,101.23741158832901,15642.43177
1642636800,41672.14,43511.99,40555,40670.97,101.40875083694758,17860.83738
1642723200,40671.77,41127.79,35422,36456.94,101.0847392223891,50742.91054
1642809600,36456.67,36835.93,34017.56,35066.43,101.0847392223891,30044.13935
1642896000,35075.7,36555.55,34625,36282.47,101.38018551715953,17440.24192
1642982400,36275.28,37574.63,32933.33,36693.32,101.41887735798396,38776.30461
1643068800,36687.58,37579.81,35716.15,36980,101.31537821062103,21597.5365
1643155200,36980,38960,36254.97,36840.63,101.38129182758271,27404.00559
1643241600,36846.22,37249,35526.36,37188.37,101.26281069481915,23601.4766
1643328000,37188.37,38023.74,36162.48,37741.9,101.35007807294808,22716.17908
1643414400,37741.9,38748.43,37300,38191.1,101.35007807294808,13103.20531
1643500800,38189.82,38384.07,37365.31,37901.35,101.35007807294808,10632.5502
1643587200,37904.99,38785.04,36640.94,38491.93,101.45951767285514,19654.99914
1643673600,38492.53,39300,38021.53,38716.88,101.5056592982686,16379.94592
1643760000,38714.27,38888.88,36584.29,36923.39,101.14302167648894,13787.6016
1643846400,36923.39,37450.75,36259.01,37329.91,101.05312301393286,13283.30062
1643932800,37324.61,41788.81,37051.36,41614.64,101.14254892343111,22537.57252
1644019200,41613.75,41970,40955.4,41404.85,101.14254892343111,11187.21557
1644105600,41411.59,42719.93,41135.39,42415.16,101.14254892343111,6447.89943
1644192000,42416.06,44533,41678.79,43868.07,100.97958082903259,20040.51315
1644278400,43868.08,45519.24,42688,44085.59,100.74041032393568,20387.66021
1644364800,44087.58,44865.46,43155.5,44416.35,100.89472278518201,12785.82602
1644451200,44416.39,45855,43210,43527.71,100.87796675875941,20024.53763
1644537600,43521.88,43962.13,42000,42386.47,100.70774523129396,19367.42963
1644624000,42386.47,43050,41750,42244.97,100.70774523129396,8664.434
1644710400,42244.91,42781.96,41885.61,42074.99,100.70774523129396,6208.95528
1644796800,42073.37,42876.15,41570,42548.71,100.50079223626233,14805.99785
1644883200,42548.71,44775.96,42433.28,44583.52,100.42231141691377,14154.74893
1644969600,44580.73,44585.69,43330.59,43895.56,100.3045015813426,9663.45469
1645056000,43895.55,44195.62,40099.99,40536.73,100.35226346250506,18630.12277
1645142400,40537.94,40990.9,39425.07,39983.56,100.57412291183061,16491.02773
1645228800,39993.64,40469.82,39655,40101.94,100.57412291183061,6277.31635
1645315200,40101.93,40146.07,38000,38389.03,100.57412291183061,10972.33604
1645401600,38395.99,39506.91,36811,37023,100.58265940374446,20970.77827
1645488000,37022.11,38469.06,36350,38251.48,101.61759286294934,22767.10214
1645574400,38251.67,39276.85,37055,37268.19,101.60136096683519,15510.12768
